,3M1292TY,3M501,3M5N11,3M6200,3m6001PR,AE82501,AN11-250,AN11840-10,AN11840-7,AN11840-8,AN11840-9,AN16-650T9,AN23-201T9,AN37-175T10,AN48-129T10,AN48-129T7,AN48-129T8,AN48-129T9,CR2310AF,CRST1130,DUNB127SXL,GECS826TL,GIA2005B,JYG37510,JYR-1521M,JYR-2004AM,JYR-2004AZ,JYR-2004B,JYR-2004N,JYR-2004R,ME6632L,ME6632M,ME6632XL,ME9683L,ME9683M,ME9683S,MESX200LH,MESX9378KCTV,MESX9667L,MOM2700,MRSR-1060NJTL,PIP33-BLK125BPL,PIP33-BLK125BPM,PIP33-BLK125BPS,PIP33-BLK125BPXS,PIP42-874,PMKN95B,RA99705,SACFCB02,SF1340L8,SF1340M7,SF1340S6,SF1340XS5,SFGG805PFL,SFPUG09VMT,SFPUG111T6,SFPUG111T7,SFPUG111T8,SFPUG111T9,SFPUG111VMT,SFPUG611VMT,SFT601,SPS3960HS,SPS700HS,SRCRC12,SRCRCL,SRESM60V,SRMAM,SRPEC60X90TY,SRPM60X90,UVS4040,UVSVP400,UVSVP401,XAGRPCFCGIS,XAPERC,XAPOKGIS,XESB60R,XGNRON,XS3M501,XS3M5N11,XS3M6003-TY,XS3M6004TY,XS3M7093TY,XS3M7502TY,XSAE82509TY,XSAE82701
3M1292TY,"1,0","0,7077649389908992","-0,03252526195723403","-0,09016155922141433","-0,016402973614136843","0,3797857080983663","0,9238540926488018","0,5668468575524542","0,7946989204356188","0,8614303931474985","0,8395910490752966","0,6681507620424025","-0,4919700779439688","0,41829194164175754","0,8018355890060235","0,8463829734295021","0,8586733451614399","0,8575086837427982","-0,021420662297257215","0,8103075695890078","-0,22207376673647616","-0,24211693916289154","-0,23238541668814247","-0,3150658520569743","0,5519941321861808","-0,4694559128137447","0,3426291348488686","-0,10929741575127493","0,36020649484485545","-0,1747080374488359","0,9537102621486293","0,9536494137200867","0,9508803010132029","0,8705966049312991","0,8816931409269222","0,8862021108253749","0,7551553162296565","0,7668238561460721","-0,12866446347533547","0,6339368600863186","0,14626289836528397","0,9361253986474175","0,9597268949756557","0,9612355082324007","0,9260554396816021","0,3187180920699064","0,4821217844879951","0,8458670368381025","0,2688022718570929","-0,18668456961390162","-0,18668456961390162","-0,18668456961390165","-0,18668456961390176","0,3735867668190093","0,23437550893881096","-0,18668456961390165","-0,18668456961390162","-0,18668456961390176","-0,18668456961390176","0,4347400974365619","0,838527712976854","-0,3160164701933604","0,03279649154203294","0,34035451596579946","-0,3168124926509772","-0,1417667159463378","0,6863418638839204","-0,0707802562440567","0,3214772960220792","0,5069436039130006","0,959381476118047","0,05337760468566194","0,8839861408466267","0,20750821086019686","0,19401059186543207","0,23608103993293433","0,2236619929947833","-0,21339827575999762","0,10106545855629677","0,561531071572285","0,6738618348331585","-0,0017906090690961536","0,4711667988886186","0,7506027199455728","0,3416535695325367","0,2095115797841535"
3M501,"0,7077649389908992","1,0","0,4256294208765054","0,4120518967824385","0,48620169461293455","0,588375284327535","0,6193972686723005","0,4149076946302065","0,5332719391436336","0,5322659861364535","0,5390453752617463","0,65345112248","-0,27236355876399","0,7099256966981922","0,45521919741593775","0,46015639488980775","0,48060871900466956","0,4745104330586834","0,4128145479710752","0,7786086577691789","-0,024431423292742362","-0,39046022315659007","-0,1666189553753095","-0,40894243101650213","0,7163571457187133","-0,5472739945497349","0,3730491189880084","-0,2471277625999908","0,05082278693253523","-0,32161199451320327","0,6688251508175879","0,6929726732165027","0,7093866292102572","0,7169457748653906","0,8122087759091015","0,6706104593705867","0,6570728167858676","0,5899178184911923","-0,08389400778798471","0,44689446067836847","0,4130446282113627","0,6030681008682088","0,6609522471221142","0,6861646605340576","0,687255244926734","0,38509180727543824","0,6821854869660932","0,47995757869192235","0,4841989683415589","-0,19987628553982187","-0,19987628553982195","-0,19987628553982206","-0,19987628553982206","0,5819148164532635","0,2760049713644504","-0,19987628553982198","-0,19987628553982198","-0,199876285539822","-0,19987628553982206","0,4254510698631045","0,8051315230114104","-0,17722309454236243","-0,06193620016186595","0,5008186209232989","-0,42510956868163696","-0,03821105053769908","0,7604538490324471","-0,11600756763971536","0,3420710418884404","0,7964862647100743","0,6543549257584581","0,08729235024288574","0,7722578952131653","0,15965512300117998","0,18534374108954307","0,025375971199388076","0,15111187018531877","-0,36722392370199697","0,12346004313874753","0,5491573547893773","0,6218637799770494","-0,02214093914971549","0,5590132230791037","0,7461565962696002","0,3054648099182263","0,24937922951346386"
3M5N11,"-0,03252526195723403","0,4256294208765054","1,0","0,8389203705516911","0,9546469277922138","0,07296293810693247","-0,1047182959882327","-0,08017322677439118","-0,1031063975418562","-0,11106385909346715","-0,109761523107413","-0,05185404628076691","0,3039550527619522","0,3490994527425421","-0,0588825014869845","-0,07368072382758842","-0,07526559574711926","-0,08558466333935902","0,714051023447159","-0,06484625263560286","0,23111005340831925","-0,29894128382150864","0,1561824612707285","0,14374038027567054","0,37276506018006644","-0,0481728798918127","0,20673552322850072","0,14347103773371994","-0,0023609857440197567","0,07642051142827865","-0,09534663155745889","-0,10039677832832185","-0,09717196964068274","0,1716647761492851","0,1618883877286828","-0,060375434731924034","0,1312458212033934","0,02616155858028749","0,0809211008278212","0,2780152252005577","0,5217862729698166","-0,1002282971226969","-0,0963065910122396","-0,104497916590114","-0,08876625248941243","0,2829036823298106","0,31831563882495356","-0,07570716648093612","0,38896462902895","-0,15302781144184854","-0,15302781144184838","-0,15302781144184857","-0,15302781144184863","0,5275575897350787","0,23212016156344203","-0,1530278114418486","-0,1530278114418486","-0,1530278114418486","-0,15302781144184863","0,11110211805652889","0,1389518387787514","0,4467822678459945","0,22967056141214204","0,36326465988468937","-0,23001394595359487","0,2807653883619455","0,08317261331004323","0,1338515722634804","0,39945713729145477","0,6102278383901696","-0,10899784387511638","0,4156854315770766","-0,08584857553775305","-0,038044332572903045","0,2090237425262579","-0,04664594369306485","0,017777027236138346","-0,029555816548303877","0,41067510655854716","0,3774600952937783","0,013502216566477081","0,305722790656373","0,28549695510653406","0,15464129252901548","0,252368196668073","0,4078356632722124"
3M6200,"-0,09016155922141433","0,4120518967824385","0,8389203705516911","1,0","0,8629573802947283","0,08145577770779695","-0,10328656893028651","-0,028100556746204965","-0,07319878590820554","-0,08462462902637749","-0,08479238821295276","-0,057077283394339144","0,25633762512283004","0,30784761300947233","-0,1097658336183165","-0,11540563889503391","-0,12131546932913859","-0,10606298970221927","0,8226566453005102","-0,08998314375098114","0,24775244438710328","-0,26842936188794425","0,19868645518034553","0,06535265332701154","0,3558923774347987","-0,06179042271153783","0,1661580164276884","-0,008090389303402144","-0,0768241320523935","-0,06614342994105188","-0,11388244436879895","-0,10587767402306399","-0,11525584552033012","0,09798263869214888","0,085281571843891","-0,13900800059862692","0,07849621409139924","0,004383420398117645","0,1591983616027007","0,1623320039022054","0,5882020850844606","-0,1253525194614643","-0,1225961913849442","-0,11840249683192502","-0,11471455969473472","0,24917534071353134","0,2855886704619529","-0,11181096239177304","0,3261046108617869","-0,13740878225762343","-0,1374087822576234","-0,1374087822576235","-0,13740878225762349","0,4593578914428258","0,2803598366643718","-0,13740878225762354","-0,13740878225762343","-0,13740878225762337","-0,13740878225762349","0,17766463444076236","0,13088042487058243","0,3157633690708082","0,21392450929729875","0,27433671530754583","-0,18102480209694732","0,11620737947449601","0,05931221204655657","0,06222847556421562","0,27954001916769244","0,5913593092845777","-0,11750703020479322","0,2330310466331561","-0,09824200305562072","-0,08430494562963191","-0,000963945071531587","-0,11104754957091009","0,015575811221709836","0,02511208939463127","0,31058168828869587","0,27237068035539486","-0,0368144911976879","0,21506954400224612","0,18873723115913174","0,10089569776358392","0,13176336303212996","0,2845670372936129"
3m6001PR,"-0,016402973614136843","0,48620169461293455","0,9546469277922138","0,8629573802947283","1,0","0,07527223978663246","-0,0811394104456959","-0,042000638372883106","-0,07320896737006907","-0,0866378075392495","-0,07143724062555636","-0,019869592901315625","0,2971890063893762","0,4220156683905185","-0,07035887460687487","-0,06908812099168175","-0,07190228891124238","-0,07098445425451097","0,8045836303589037","-0,020305860901635102","0,2750584904423505","-0,3059544574540589","0,14180747399652158","0,062367801427388396","0,41837389141713355","-0,08040385846285256","0,18811288915028967","0,08636040177894941","-0,026580120130868325","0,0211345710198346","-0,06840301376820848","-0,06486066126435774","-0,06167128524800589","0,18420870401363656","0,19569264233224318","-0,053180795836785054","0,13124297964698262","0,053717280452368295","0,11105991920937114","0,2245613037622549","0,5823926247075736","-0,0759817769297999","-0,0712518279943256","-0,07288367322210827","-0,06278096903639052","0,3021652871246207","0,3372449053708822","-0,07202656688916506","0,4130235690885157","-0,15661784958757233","-0,15661784958757233","-0,15661784958757244","-0,1566178495875725","0,5300776172527656","0,26140526037681766","-0,1566178495875724","-0,1566178495875724","-0,15661784958757244","-0,1566178495875725","0,17110231136430032","0,17625127995796455","0,4105851728934362","0,14937578816844926","0,3043934733725396","-0,2689124652175641","0,22587706056680337","0,09872143471103233","0,05856503375494068","0,339939068325987","0,6702630343322277","-0,08381387609883367","0,3771940231195677","-0,04340725483377337","-0,03662907462991673","0,1712727125385817","-0,09000567307013728","0,027453535443559596","-0,03524741209069523","0,3819704170761054","0,3838087438484179","-0,0059176407584760745","0,24519347119356813","0,2541725102966632","0,13954555664504925","0,21552572355633812","0,35813061339197255"
AE82501,"0,3797857080983663","0,588375284327535","0,07296293810693247","0,08145577770779695","0,07527223978663246","1,0","0,2860158667211331","0,10142947358443616","0,15263307968775153","0,18366257482568668","0,16404710506859638","0,44461502249792784","-0,2680544975596323","0,4512629419742545","0,14532820678311956","0,19798794699460173","0,1930701946514982","0,19492577233961575","0,06579705987387398","0,5752529757077529","0,0692485526233336","-0,2558684262063912","-0,09901221700207302","-0,20456039942740634","0,35709647037818815","-0,35763501006658355","0,392881556362321","-0,022616432586868483","0,031915481111744075","-0,18752642713655687","0,30861888255660086","0,3340571224771262","0,3526189052515404","0,4538774835184089","0,5578327851706594","0,42582608006677003","0,42817841415396934","0,21085238328424724","-0,03168187054898151","0,29351441961395014","0,166805310622995","0,2496520980384544","0,2963084793833094","0,3174445452335569","0,3224112762367282","0,28905828526943955","0,4712846798323751","0,20291084298687254","0,3407189360479423","-0,13097884901977197","-0,13097884901977197","-0,130978849019772","-0,13097884901977208","0,23866939377744792","0,12774902715376785","-0,130978849019772","-0,13097884901977197","-0,130978849019772","-0,13097884901977208","0,14373982335535895","0,45421047923587865","-0,24795075770371097","-0,0006644608557555818","0,3001233052900208","-0,13961032768625067","-0,05651371748785043","0,6649626396993056","0,17631822207810774","0,4047142135650101","0,39748274773481884","0,31409109070390845","0,10445557985227139","0,4887145409994023","0,2819294270766876","0,12870522846910523","0,11644879379769876","0,32265615041802315","-0,28936692637533834","0,026377966624255154","0,3132735892519714","0,5806144737018868","0,011401999100267707","0,613591637044306","0,6876710979202696","0,34510883672589193","0,3622054466093991"
AN11-250,"0,9238540926488018","0,6193972686723005","-0,1047182959882327","-0,10328656893028651","-0,0811394104456959","0,2860158667211331","1,0","0,6019968368290461","0,8214829957200074","0,8864736478741464","0,8813230898864283","0,5010284648954274","-0,46575450678296115","0,3183330061928121","0,8426294175951563","0,8690364694279419","0,9252963115188074","0,9119960194602228","-0,07626776156722682","0,6857055353362796","-0,2905272899079101","-0,20148392323486192","-0,265519298352047","-0,3926871881607826","0,4854024372430673","-0,4486996521230268","0,21136675146987086","-0,18122471826883182","0,39426814802000587","-0,19949440182878375","0,9222062812984614","0,9200326023486078","0,9026773248708169","0,7462125873841182","0,7292814945425196","0,734174173280698","0,5415272970160911","0,698077715151685","-0,23046034436587404","0,5040014358389158","0,12465221527010134","0,9483153895478166","0,9489615623265522","0,922772901411259","0,8395760390088736","0,13496782311273942","0,3803398163272872","0,853735724337587","0,11793883935408048","-0,10313946410880419","-0,10313946410880426","-0,10313946410880424","-0,10313946410880424","0,30272496833232654","0,12815339616003468","-0,10313946410880423","-0,10313946410880424","-0,10313946410880427","-0,10313946410880424","0,3279197101763243","0,7368452783685503","-0,33826124028998344","-0,017629114965494797","0,26998418372499233","-0,38909342491730714","-0,21637654387209146","0,5399880662326342","-0,18097434176025678","0,2028241974468848","0,38757225717453486","0,9653387929778814","-0,09442812069442534","0,78713538584674","0,1200727707404483","0,16497849619773455","0,22256794514542588","0,11580670062107734","-0,18245168109319967","0,036032547586428286","0,46159571619206474","0,4809427452906381","-0,09285726252990298","0,28928438372275583","0,6122907478706988","0,20378067135659303","0,05212553193413006"
AN11840-10,"0,5668468575524542","0,4149076946302065","-0,08017322677439118","-0,028100556746204965","-0,042000638372883106","0,10142947358443616","0,6019968368290461","1,0","0,6769594717580956","0,6663779530334192","0,731782255024465","0,49685125970523","-0,39891660735170614","0,23392947026165722","0,5015822338631338","0,398868427978689","0,38211562631828416","0,43436347598394814","-0,03710843266921493","0,47222411760711824","-0,34784582568469374","-0,16249728092733653","-0,28239704098319496","-0,32351331807946615","0,3447947852555117","-0,3725208747785406","0,27499142865090426","-0,2047540329976086","0,08433256265865191","-0,20979945032616018","0,6411512948059217","0,6661453652561251","0,5817361489233344","0,4599151989699696","0,4751806188349624","0,6360099057769527","0,3443720565980519","0,5259478300115116","-0,020080850751906056","0,2387894613093782","0,12385182092730955","0,5204739482083462","0,5543713557132535","0,6216183838077849","0,5238646033503311","0,12520260816163092","0,3377037121020161","0,3522143382479914","0,05137210710836631","-0,08318223213495286","-0,08318223213495285","-0,08318223213495286","-0,08318223213495292","0,21861265186174636","0,21691319490388827","-0,08318223213495286","-0,08318223213495286","-0,08318223213495289","-0,08318223213495292","0,3490412667867333","0,6242957681149718","-0,27280852441094466","-0,052850093982362456","0,08306690556537924","-0,3266250841431347","-0,1879767879328326","0,4235991250467947","-0,2202930217562671","0,09223362767971144","0,345203096306908","0,5634740322585831","-0,17072668187203077","0,6428912359154454","0,05282537640515367","-0,03965044355943538","0,129481913535594","-0,028255675271708316","-0,2374508861774043","0,039134554843299155","0,31912138622975894","0,4475523317568265","-0,04289067592673528","0,2023846651410553","0,4121623123647507","0,11256645681259032","-0,03077277332026384"
AN11840-7,"0,7946989204356188","0,5332719391436336","-0,1031063975418562","-0,07319878590820554","-0,07320896737006907","0,15263307968775153","0,8214829957200074","0,6769594717580956","1,0","0,9479030195331193","0,9518757943178735","0,5515730458213618","-0,4196435968517549","0,1951282686113283","0,7890470663602659","0,6885915867472278","0,7649195478313807","0,7886242621487597","-0,06385959867550552","0,5588819930278979","-0,3185607791382462","-0,17094034740663677","-0,2581544084369411","-0,3552122468837099","0,37238319643268214","-0,36637237989398325","0,14632657648831293","-0,1379913249709621","0,32990588456125053","-0,23613168854040617","0,7898174248264841","0,7895883521307661","0,7886017913355639","0,5849232496867154","0,6180119576996311","0,6775791482812973","0,47409686479255464","0,5961272774632614","-0,13578967046943807","0,46323673233764484","0,07539730581601169","0,804635248179025","0,7957213882610369","0,78872445846596","0,7968040968117709","0,07042906530265838","0,29494179841466217","0,7173999973198786","-0,0002035687353582384","-0,087504231320441","-0,08750423132044105","-0,08750423132044104","-0,08750423132044109","0,22275522139479592","0,1220509965660422","-0,08750423132044102","-0,08750423132044101","-0,08750423132044106","-0,08750423132044109","0,3473018547523117","0,6063146868613332","-0,28698316471616536","0,04651870521267241","0,17718795778157306","-0,3719371826568667","-0,20826693115153153","0,44579064147071296","-0,16955151609084224","0,1787401720016998","0,282596127076301","0,8560199698896443","-0,13883099798537227","0,6924908969860488","0,06438824110724718","0,1134198564075228","0,20492111388663006","0,058600886005932135","-0,16916886772996792","0,06944246798846238","0,3828863650434448","0,44199799558630976","-0,05297862190845185","0,21707422097028678","0,49898371448458184","0,14377473651413517","0,01323398172445117"
AN11840-8,"0,8614303931474985","0,5322659861364535","-0,11106385909346715","-0,08462462902637749","-0,0866378075392495","0,18366257482568668","0,8864736478741464","0,6663779530334192","0,9479030195331193","1,0","0,943935699231868","0,5694120906233251","-0,4478173470025518","0,20691394782092543","0,8624318227236679","0,8497176999227638","0,8524545303658895","0,899583017679677","-0,049847608619136306","0,5903071339173286","-0,328166895323889","-0,18241682571979523","-0,26303123038900483","-0,38041098636652976","0,4054212236975868","-0,40835894225397845","0,14341108737098132","-0,11210681769347712","0,38407148492010185","-0,23668568270295987","0,8742715554316381","0,8624122437390577","0,8381827416197781","0,6454755605078677","0,6578880158740539","0,7049495384965043","0,4912164182237092","0,656450534646364","-0,16365401839908467","0,4942209681040699","0,09961064879861194","0,8790202292852796","0,8717710874433904","0,8613538649221402","0,8431985940808177","0,08602411336637654","0,3158906580754504","0,8288714579979777","0,02480451265472718","-0,09337903167210831","-0,09337903167210837","-0,09337903167210836","-0,09337903167210838","0,24931131787909164","0,13896710756870317","-0,09337903167210837","-0,09337903167210838","-0,09337903167210836","-0,09337903167210838","0,3762418574748486","0,6678602924259748","-0,3062504478127176","0,052111203244395846","0,20728668539034886","-0,3977066386674263","-0,2362775207905294","0,4573086976081763","-0,20074478237355697","0,15563227385515888","0,3084796966550548","0,9233899199535407","-0,13544260184075524","0,7342077564084759","0,05655779450817879","0,14197476742231807","0,20649103716724126","0,06529727609110568","-0,17067338897055526","0,0676893118710245","0,4342301808545548","0,44247480037162684","-0,07465766098396895","0,2085488033843412","0,5241544535413861","0,16638545949359326","0,021707334837825613"
AN11840-9,"0,8395910490752966","0,5390453752617463","-0,109761523107413","-0,08479238821295276","-0,07143724062555636","0,16404710506859638","0,8813230898864283","0,731782255024465","0,9518757943178735","0,943935699231868","1,0","0,5332922069806306","-0,45014933116289313","0,22324265366664287","0,7544358183406049","0,7617727947234803","0,8182444250020237","0,8589023145739663","-0,057704247424460654","0,5877680541081649","-0,32374404374359544","-0,18336675128879262","-0,3105849999045731","-0,3821897371963531","0,39516097446566456","-0,39472197134357206","0,16587172390305793","-0,14244796605185908","0,34888807973221775","-0,2229632775333718","0,8564960400928873","0,8595730180144453","0,8242519300003607","0,6249535122713147","0,6459797955582159","0,7186302005397416","0,4803008720912434","0,6376041477749897","-0,18022649937166377","0,45925127422783174","0,1224897517653262","0,8563736518971424","0,8369292449875075","0,8466733345867207","0,7943651845272182","0,09575761852274499","0,3119070902217123","0,7626494224854211","-0,0014110325304989564","-0,09386529783447325","-0,09386529783447327","-0,09386529783447327","-0,09386529783447328","0,21538266226351563","0,11644285877236403","-0,0938652978344733","-0,09386529783447325","-0,09386529783447328","-0,09386529783447328","0,31869189309861345","0,655080137202382","-0,3078452301456866","0,015233857614495363","0,17946347105443758","-0,39983675127410834","-0,21850353195689123","0,48987368165635864","-0,17995242725466598","0,1593141270397621","0,3365737288205848","0,8844545748669628","-0,13881436015123674","0,7295654212270742","0,0806649579924053","0,11221154820083858","0,22314390979918464","0,07917450102104803","-0,16689268015055922","0,07164381932800766","0,41026628119319447","0,4650341028955339","-0,05344656038581745","0,22653746230698082","0,5499979522902992","0,16183021877158763","0,0065035821141119264"
AN16-650T9,"0,6681507620424025","0,65345112248","-0,05185404628076691","-0,057077283394339144","-0,019869592901315625","0,44461502249792784","0,5010284648954274","0,49685125970523","0,5515730458213618","0,5694120906233251","0,5332922069806306","1,0","-0,5180829072893055","0,4564840525725775","0,33141596814648333","0,38010632799774824","0,36436878772279685","0,36837925952485584","-0,02155681099322613","0,7681460827454316","-0,24364152840531902","-0,21667562620731984","-0,32585208154853584","-0,484221617427756","0,40223190830078126","-0,4818037076143793","0,1998969214400441","-0,2635045429299746","0,023134623042709405","-0,40401548746501764","0,7056400425933468","0,7337092985257051","0,7608242834657861","0,5522544770687242","0,6679413210631948","0,7124425414650726","0,6046664809063144","0,6618071378001698","-0,07752688789909348","0,23415144425122209","0,08429533639541066","0,48228938143169847","0,5919244517056756","0,7064213339122883","0,7872579744979157","0,23052242056751868","0,47034572019417","0,4593113943833614","0,220768982261537","-0,11091608508343652","-0,11091608508343659","-0,11091608508343657","-0,11091608508343664","0,19853204862605672","0,15731083226794973","-0,11091608508343657","-0,11091608508343657","-0,11091608508343662","-0,11091608508343664","0,3662229861465284","0,7080952172139416","-0,36376582749017705","-0,20737365710393948","0,3176283858399346","-0,22456624499518338","-0,1935639669754173","0,7035390704826532","-0,19634589340903102","0,08665431098957654","0,44575621158802436","0,6186872290277003","-0,16412202018673694","0,8394065862625303","0,05452871606333726","-0,05722555336206022","-0,08072102593707023","0,09936308777878411","-0,431308874466132","-0,04672978024714022","0,370670188238673","0,7204727834934733","-0,14555847023294302","0,4447019249811271","0,6120102080323903","0,177619783103022","0,05150923962842043"
AN23-201T9,"-0,4919700779439688","-0,27236355876399","0,3039550527619522","0,25633762512283004","0,2971890063893762","-0,2680544975596323","-0,46575450678296115","-0,39891660735170614","-0,4196435968517549","-0,4478173470025518","-0,45014933116289313","-0,5180829072893055","1,0","0,1949100504191309","-0,37422956053444484","-0,39137691985444956","-0,37792634116172835","-0,3898837371153444","0,35379441058864314","-0,5116801650287224","0,6262123352228524","-0,1911925628742853","0,38078521879798116","0,35293908080636877","0,1449705290210689","0,04352682033661626","-0,1377055647258103","0,12346099166236252","-0,10800997547685601","0,032262805662917234","-0,5513413968287507","-0,5737786613852811","-0,5682653467203087","-0,21648022483945512","-0,27181436526753366","-0,4424814982324299","-0,3198993461723609","-0,4241909468557624","0,1307577736317424","-0,04686548931950071","0,004506373380925483","-0,4812468543484689","-0,5237400818313037","-0,5629046162514995","-0,5603261424848679","0,14170756429557918","0,11771407449100761","-0,39135191224421095","0,31336402219137993","-0,09787132471833188","-0,09787132471833186","-0,09787132471833197","-0,09787132471833201","0,3810492464638487","0,0527793847973407","-0,09787132471833199","-0,09787132471833197","-0,09787132471833192","-0,09787132471833201","-0,0648857425729387","-0,33579730832924803","0,6380485584240655","-0,06328510423654654","0,33835260210584","-0,16661143871987238","0,5616062083228216","-0,3060612604679573","0,08926818141386889","0,07663276094537691","-0,05388020778019728","-0,5142606199656953","0,44644317340590434","-0,5875571230269203","-0,08018626217473358","0,18349743319759965","-0,02418627894318853","-0,318527937919093","0,32097574909807797","0,40953559471641193","0,0885518885314844","-0,5382829476915059","-0,03857948902436678","-0,38469561334694485","-0,4668749280215237","-0,034618725140107984","0,13267727980522548"
AN37-175T10,"0,41829194164175754","0,7099256966981922","0,3490994527425421","0,30784761300947233","0,4220156683905185","0,4512629419742545","0,3183330061928121","0,23392947026165722","0,1951282686113283","0,20691394782092543","0,22324265366664287","0,4564840525725775","0,1949100504191309","1,0","0,13047284182952623","0,15884591541325183","0,16137331455417092","0,17050455275839388","0,4355201828332579","0,5700402061007129","0,3897438455169494","-0,46892139812551137","0,01694190709207583","-0,26810846898677493","0,8716082081396317","-0,6223460495763989","0,4076528786623247","-0,14680349233960208","-0,032577067781801076","-0,38168717727855855","0,3573531823218228","0,4076487967441528","0,4037019887266125","0,5796593869352501","0,647080304088897","0,47299116624918924","0,4850090034617302","0,48580575996321246","0,004435211072332566","0,3645886403336591","0,25676860289095216","0,2810714381004211","0,3408952263960112","0,3827522836282332","0,36767505920147714","0,5319583018745128","0,8058292192570214","0,15627648947872227","0,6491017121329662","-0,24004050018144682","-0,24004050018144685","-0,24004050018144688","-0,240040500181447","0,8091023348713244","0,28889174190058564","-0,2400405001814469","-0,2400405001814468","-0,240040500181447","-0,240040500181447","0,3935127941299813","0,6712428168065853","0,1871694679130705","-0,2314119069309118","0,6509960400147381","-0,38902096865876223","0,28320333409662224","0,6584748962741706","-0,17602812453737474","0,3614175711071812","0,7382231020767908","0,3330638761047329","0,334670153326995","0,5268932468958928","0,10567717870449791","0,15050673804989673","-0,07066743904792851","-0,041521155118364454","-0,3763556055773992","0,36809824465563457","0,6251529755733762","0,36631433080305503","-0,08408955118037856","0,38923049112384756","0,48190463926279986","0,37189368786426324","0,27024187498818797"
AN48-129T10,"0,8018355890060235","0,45521919741593775","-0,0588825014869845","-0,1097658336183165","-0,07035887460687487","0,14532820678311956","0,8426294175951563","0,5015822338631338","0,7890470663602659","0,8624318227236679","0,7544358183406049","0,33141596814648333","-0,37422956053444484","0,13047284182952623","1,0","0,8688569103281087","0,8606075166467524","0,8564771665608729","-0,07505464583035414","0,5281795872778396","-0,30755004913820394","-0,1524410989885535","-0,22380701246060203","-0,3012258108940786","0,3380361874301009","-0,3561850093769808","0,14213072208237826","-0,11260615371800083","0,30025782329743167","-0,1453274657181998","0,7999638769166479","0,7501405864047849","0,7395154977293656","0,630169721333985","0,5887809620059862","0,5974519025918029","0,39970435764301615","0,5464571723094171","-0,20410243321445445","0,46789565545693074","0,07482627319919354","0,8800064643834611","0,8631854719563018","0,7854696834428699","0,7601547443537412","0,04093080202040536","0,23461537898458598","0,8334389476012837","0,023195551948540054","-0,07803448039628082","-0,07803448039628087","-0,07803448039628087","-0,07803448039628087","0,24647903261842455","0,052028430230242104","-0,07803448039628086","-0,07803448039628084","-0,07803448039628084","-0,07803448039628087","0,25726758753197126","0,5364751062145788","-0,25592570557070726","0,12971423740757698","0,17347385538297402","-0,3498744838118802","-0,23341133597736552","0,3339450399812301","-0,19369577644580854","0,16606438030146922","0,24302663432540114","0,8667707037427037","-0,09789867384350297","0,6161823736896114","0,050440181808321286","0,18460392235052903","0,2484800579253037","0,04394577953826791","-0,04270821460139227","0,012222449214977827","0,336137529113823","0,3235594419095014","-0,0754445690811834","0,15291110274629885","0,4338482981908672","0,11764983989261915","0,026705161726571947"
AN48-129T7,"0,8463829734295021","0,46015639488980775","-0,07368072382758842","-0,11540563889503391","-0,06908812099168175","0,19798794699460173","0,8690364694279419","0,398868427978689","0,6885915867472278","0,8497176999227638","0,7617727947234803","0,38010632799774824","-0,39137691985444956","0,15884591541325183","0,8688569103281087","1,0","0,935501979132665","0,9587671256338484","-0,03553136260032315","0,5404325844414553","-0,2637798298952926","-0,15942601566846534","-0,26224075407069847","-0,33172535047032353","0,3591322455455394","-0,37505252021795654","0,09992424025267643","-0,06806199197258009","0,38823395226483126","-0,15035465320976515","0,8629693717061976","0,8156958841747369","0,7877235234344533","0,6672229104779837","0,6179864963004396","0,6154542179056286","0,4368944662738987","0,6002799169896468","-0,261498733314486","0,48591329548780704","0,14143221037404638","0,9211601563263856","0,8906601326065683","0,8380580082813551","0,7784494292400339","0,06768396415943215","0,24427958239765893","0,9275369867932036","0,04549081283243852","-0,08161005382985444","-0,08161005382985445","-0,08161005382985445","-0,08161005382985448","0,24197823073885394","0,049057977515818474","-0,08161005382985446","-0,08161005382985445","-0,08161005382985448","-0,08161005382985448","0,24702991402906138","0,5727627972255989","-0,26765233140534045","0,07897613899938373","0,23277008996412168","-0,3659058830478346","-0,22965192022837497","0,3823892292650794","-0,1764487976363954","0,13292735651514165","0,30677361167660383","0,8853830203748735","-0,07315679784351373","0,6284992603956501","0,10622955627933024","0,19975735289036234","0,26096005549169493","0,12247170398941758","-0,08440852660449305","0,04498054960772158","0,40798695117389294","0,34352309075197746","-0,07125615461222073","0,16264679560386097","0,5076278105018116","0,17578888639011828","0,04513076884193714"
